data,nuovi_positivi
2020-10-05,4
2020-10-12,1
2020-10-19,22
2020-10-26,21
2020-11-02,29
2020-11-09,38
2020-11-16,23
2020-11-23,36
2020-11-30,39
2020-12-07,38
2020-12-14,16
2020-12-21,32
2020-12-28,55
2021-01-04,43
2021-01-11,62
2021-01-18,43
2021-01-25,21
2021-02-01,11
2021-02-08,10
2021-02-15,4
2021-02-22,0
2021-03-01,9
2021-03-08,24
2021-03-15,34
2021-03-22,29
2021-03-29,19
2021-04-05,17
2021-04-12,5
