data,sigla_provincia,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-11-16,PA,082067,Santa Flavia,38.08246,13.52758,,,,,68,,,26,0,96,164,94,,,,
2020-11-17,PA,082067,Santa Flavia,38.08246,13.52758,,,,,68,0,0,26,0,94,169,94,,,,
2020-11-18,PA,082067,Santa Flavia,38.08246,13.52758,,,,,71,3,5,28,0,99,172,99,,,,
2020-11-19,PA,082067,Santa Flavia,38.08246,13.52758,,,,,84,13,13,28,0,112,183,112,,,,
2020-11-20,PA,082067,Santa Flavia,38.08246,13.52758,,,,,87,3,5,30,0,117,191,117,,,,
2020-11-21,PA,082067,Santa Flavia,38.08246,13.52758,,,,,86,-1,1,32,0,118,204,118,,,,
2020-11-23,PA,082067,Santa Flavia,38.08246,13.52758,,,,,78,-8,3,40,3,121,217,121,,,,
2020-11-24,PA,082067,Santa Flavia,38.08246,13.52758,,,,,77,-1,0,41,3,121,226,121,,,,
2020-11-25,PA,082067,Santa Flavia,38.08246,13.52758,,,,,87,10,12,43,3,133,240,133,,,,
2020-11-26,PA,082067,Santa Flavia,38.08246,13.52758,,,,,89,2,2,43,3,135,254,135,,,,
2020-11-27,PA,082067,Santa Flavia,38.08246,13.52758,,,,,89,0,6,49,3,141,259,141,,,,
2020-11-29,PA,082067,Santa Flavia,38.08246,13.52758,,,,,89,0,3,51,3,144,279,144,,,,
2020-11-30,PA,082067,Santa Flavia,38.08246,13.52758,,,,,89,0,6,58,3,150,287,150,,,,
2020-12-01,PA,082067,Santa Flavia,38.08246,13.52758,,,,,87,-2,1,61,3,151,306,151,,,,
2020-12-02,PA,082067,Santa Flavia,38.08246,13.52758,,,,,89,2,2,61,3,153,316,153,,,,
2020-12-03,PA,082067,Santa Flavia,38.08246,13.52758,,,,,95,6,12,67,3,165,320,165,,,,
2020-12-04,PA,082067,Santa Flavia,38.08246,13.52758,,,,,102,7,12,72,3,177,327,177,,,,
2020-12-05,PA,082067,Santa Flavia,38.08246,13.52758,,,,,92,-10,1,83,3,178,334,178,,,,
2020-12-06,PA,082067,Santa Flavia,38.08246,13.52758,,,,,95,3,14,94,3,192,347,192,,,,
2020-12-08,PA,082067,Santa Flavia,38.08246,13.52758,,,,,103,8,11,97,3,203,362,203,,,,
2020-12-09,PA,082067,Santa Flavia,38.08246,13.52758,,,,,99,-4,4,105,3,207,370,207,,,,
2020-12-10,PA,082067,Santa Flavia,38.08246,13.52758,,,,,95,-4,2,111,3,209,384,209,,,,
2020-12-11,PA,082067,Santa Flavia,38.08246,13.52758,,,,,98,3,11,119,3,220,403,220,,,,
2020-12-12,PA,082067,Santa Flavia,38.08246,13.52758,,,,,102,4,5,120,3,225,428,225,,,,
2020-12-14,PA,082067,Santa Flavia,38.08246,13.52758,,,,,107,5,11,126,3,236,435,236,,,,
2020-12-15,PA,082067,Santa Flavia,38.08246,13.52758,,,,,103,-4,5,135,3,241,441,241,,,,
2020-12-16,PA,082067,Santa Flavia,38.08246,13.52758,,,,,107,4,16,147,3,257,447,257,,,,
2020-12-17,PA,082067,Santa Flavia,38.08246,13.52758,,,,,107,0,0,147,3,257,465,257,,,,Aggiunto (+1) a totale_casi per via di un errore con l'indirizzo di un paziente.
2020-12-20,PA,082067,Santa Flavia,38.08246,13.52758,,,,,98,-9,1,157,3,258,504,258,,,,
2020-12-21,PA,082067,Santa Flavia,38.08246,13.52758,,,,,98,0,4,161,3,262,506,262,,,,
2020-12-22,PA,082067,Santa Flavia,38.08246,13.52758,,,,,94,-4,2,167,3,264,509,264,,,,
2020-12-25,PA,082067,Santa Flavia,38.08246,13.52758,,,,,99,5,9,171,3,273,542,273,,,,
2020-12-28,PA,082067,Santa Flavia,38.08246,13.52758,,,,,104,5,6,172,3,279,569,279,,,,
2020-12-30,PA,082067,Santa Flavia,38.08246,13.52758,,,,,113,9,20,179,7,299,587,299,,,,
2020-12-31,PA,082067,Santa Flavia,38.08246,13.52758,,,,,119,6,6,179,7,305,600,305,,,,
2021-01-01,PA,082067,Santa Flavia,38.08246,13.52758,,,,,121,2,2,179,7,307,600,307,,,,
2021-01-03,PA,082067,Santa Flavia,38.08246,13.52758,,,,,125,4,13,187,8,320,642,320,,,,
2021-01-06,PA,082067,Santa Flavia,38.08246,13.52758,,,,,127,2,23,208,8,343,657,343,,,,
