data,sigla_provincia,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-11-16,PA,082035,Ficarazzi,38.089272,13.46891,,,,,99,,,49,0,148,268,148,,,,
2020-11-17,PA,082035,Ficarazzi,38.089272,13.46891,,,,,99,0,1,50,0,149,276,149,,,,
2020-11-18,PA,082035,Ficarazzi,38.089272,13.46891,,,,,100,1,3,52,0,152,277,152,,,,
2020-11-19,PA,082035,Ficarazzi,38.089272,13.46891,,,,,109,9,16,58,1,168,283,168,,,,
2020-11-20,PA,082035,Ficarazzi,38.089272,13.46891,,,,,114,5,11,64,1,179,291,179,,,,
2020-11-21,PA,082035,Ficarazzi,38.089272,13.46891,,,,,110,-4,1,68,1,180,302,180,,,,
2020-11-23,PA,082035,Ficarazzi,38.089272,13.46891,,,,,124,14,14,69,1,194,320,194,,,,
2020-11-24,PA,082035,Ficarazzi,38.089272,13.46891,,,,,129,5,6,70,1,200,333,200,,,,
2020-11-25,PA,082035,Ficarazzi,38.089272,13.46891,,,,,130,1,7,76,1,207,348,207,,,,
2020-11-26,PA,082035,Ficarazzi,38.089272,13.46891,,,,,129,-1,3,80,1,210,365,210,,,,
2020-11-27,PA,082035,Ficarazzi,38.089272,13.46891,,,,,128,-1,3,84,1,213,371,213,,,,
2020-11-29,PA,082035,Ficarazzi,38.089272,13.46891,,,,,123,-5,0,89,1,213,392,213,,,,
2020-11-30,PA,082035,Ficarazzi,38.089272,13.46891,,,,,128,5,7,91,1,220,400,220,,,,
2020-12-01,PA,082035,Ficarazzi,38.089272,13.46891,,,,,127,-1,0,92,1,220,416,220,,,,
2020-12-02,PA,082035,Ficarazzi,38.089272,13.46891,,,,,118,-9,0,101,1,220,419,220,,,,
2020-12-03,PA,082035,Ficarazzi,38.089272,13.46891,,,,,125,7,7,101,1,227,421,227,,,,
2020-12-04,PA,082035,Ficarazzi,38.089272,13.46891,,,,,117,-8,0,109,1,227,424,227,,,,
2020-12-05,PA,082035,Ficarazzi,38.089272,13.46891,,,,,103,-14,3,126,1,230,437,230,,,,
2020-12-06,PA,082035,Ficarazzi,38.089272,13.46891,,,,,110,7,8,127,1,238,450,238,,,,
2020-12-08,PA,082035,Ficarazzi,38.089272,13.46891,,,,,99,-11,7,145,1,245,467,245,,,,
2020-12-09,PA,082035,Ficarazzi,38.089272,13.46891,,,,,96,-3,6,154,1,251,472,251,,,,
2020-12-10,PA,082035,Ficarazzi,38.089272,13.46891,,,,,97,1,1,154,1,252,475,252,,,,
2020-12-11,PA,082035,Ficarazzi,38.089272,13.46891,,,,,88,-9,6,169,1,258,491,258,,,,
2020-12-12,PA,082035,Ficarazzi,38.089272,13.46891,,,,,81,-7,1,177,1,259,497,259,,,,
2020-12-14,PA,082035,Ficarazzi,38.089272,13.46891,,,,,71,-10,1,188,1,260,505,260,,,,
2020-12-15,PA,082035,Ficarazzi,38.089272,13.46891,,,,,66,-5,1,194,1,261,511,261,,,,
2020-12-16,PA,082035,Ficarazzi,38.089272,13.46891,,,,,70,4,12,202,1,273,516,273,,,,
2020-12-17,PA,082035,Ficarazzi,38.089272,13.46891,,,,,71,1,2,203,1,275,518,275,,,,
2020-12-20,PA,082035,Ficarazzi,38.089272,13.46891,,,,,70,-1,4,208,1,279,540,279,,,,
