data,nuovi_positivi
2020-09-21,1
2020-09-28,0
2020-10-05,0
2020-10-12,0
2020-10-19,6
2020-10-26,11
2020-11-02,12
2020-11-09,11
2020-11-16,37
2020-11-23,30
2020-11-30,5
2020-12-07,5
2020-12-14,18
2020-12-21,6
2020-12-28,19
2021-01-04,13
2021-01-11,51
2021-01-18,20
2021-01-25,24
2021-02-01,13
2021-02-08,3
2021-02-15,7
2021-02-22,7
2021-03-01,4
2021-03-08,16
2021-03-15,10
2021-03-22,22
2021-03-29,8
2021-04-05,1
