data,nuovi_positivi
2020-09-21,1
2020-09-28,3
2020-10-05,1
2020-10-12,4
2020-10-19,9
2020-10-26,6
2020-11-02,22
2020-11-09,15
2020-11-16,21
2020-11-23,13
2020-11-30,10
2020-12-07,2
2020-12-14,8
2020-12-21,6
2020-12-28,12
2021-01-04,13
2021-01-11,22
2021-01-18,17
2021-01-25,25
2021-02-01,25
2021-02-08,3
2021-02-15,14
2021-02-22,8
2021-03-01,48
2021-03-08,26
2021-03-15,12
2021-03-22,13
2021-03-29,9
2021-04-05,1
