data,nuovi_positivi
2020-10-05,7
2020-10-12,20
2020-10-19,59
2020-10-26,144
2020-11-02,127
2020-11-09,261
2020-11-16,125
2020-11-23,99
2020-11-30,72
2020-12-07,68
2020-12-14,90
2020-12-21,90
2020-12-28,165
2021-01-04,95
2021-01-11,117
2021-01-18,139
2021-01-25,94
2021-02-01,81
2021-02-08,38
2021-02-15,24
2021-02-22,15
2021-03-01,31
2021-03-08,54
2021-03-15,48
2021-03-22,73
2021-03-29,72
2021-04-05,95
2021-04-12,65
