data,nuovi_positivi
2020-09-07,3
2020-09-14,0
2020-09-21,2
2020-09-28,1
2020-10-05,3
2020-10-12,6
2020-10-19,23
2020-10-26,40
2020-11-02,27
2020-11-09,78
2020-11-16,20
2020-11-23,18
2020-11-30,13
2020-12-07,25
2020-12-14,23
2020-12-21,19
2020-12-28,31
2021-01-04,44
2021-01-11,38
2021-01-18,19
2021-01-25,32
2021-02-01,20
2021-02-08,20
2021-02-15,10
2021-02-22,11
2021-03-01,10
2021-03-08,22
2021-03-15,16
2021-03-22,20
2021-03-29,25
2021-04-05,29
2021-04-12,3
