data,comune,nuovi_positivi,deceduti
2021-03-09,Casteldaccia,8,0
2021-03-10,Casteldaccia,5,0
2021-03-11,Casteldaccia,2,0
2021-03-12,Casteldaccia,0,0
2021-03-13,Casteldaccia,1,0
2021-03-14,Casteldaccia,0,0
2021-03-15,Casteldaccia,1,0
2021-03-16,Casteldaccia,2,0
2021-03-17,Casteldaccia,4,0
2021-03-18,Casteldaccia,3,0
2021-03-19,Casteldaccia,1,0
2021-03-20,Casteldaccia,0,0
2021-03-21,Casteldaccia,0,0
2021-03-22,Casteldaccia,0,0
2021-03-23,Casteldaccia,3,0
2021-03-24,Casteldaccia,5,0
2021-03-25,Casteldaccia,5,0
2021-03-26,Casteldaccia,1,0
2021-03-27,Casteldaccia,8,0
2021-03-28,Casteldaccia,0,0
2021-03-29,Casteldaccia,0,0
2021-03-30,Casteldaccia,0,0
2021-03-31,Casteldaccia,4,0
2021-04-01,Casteldaccia,1,0
2021-04-02,Casteldaccia,1,0
2021-04-03,Casteldaccia,2,0
2021-04-04,Casteldaccia,0,0
2021-04-05,Casteldaccia,1,0
2021-04-06,Casteldaccia,1,0
2021-04-07,Casteldaccia,0,0
2021-04-08,Casteldaccia,4,1
2021-04-09,Casteldaccia,0,0
2021-04-10,Casteldaccia,0,0
2021-04-11,Casteldaccia,4,0
2021-04-12,Casteldaccia,3,0
2021-04-13,Casteldaccia,9,1
2021-04-14,Casteldaccia,0,0
2021-04-15,Casteldaccia,9,0
2021-04-16,Casteldaccia,2,0
2021-04-17,Casteldaccia,15,0
2021-04-18,Casteldaccia,0,0
2021-04-19,Casteldaccia,0,0
2021-04-20,Casteldaccia,0,0
2021-04-21,Casteldaccia,4,0
2021-04-22,Casteldaccia,16,0
2021-04-23,Casteldaccia,2,1
2021-04-24,Casteldaccia,3,0
2021-04-25,Casteldaccia,0,0
2021-04-26,Casteldaccia,6,1
2021-04-27,Casteldaccia,1,0
2021-04-28,Casteldaccia,0,0
2021-04-29,Casteldaccia,22,0
2021-04-30,Casteldaccia,6,0
2021-05-01,Casteldaccia,3,1
2021-05-02,Casteldaccia,1,0
2021-05-03,Casteldaccia,3,0
2021-05-04,Casteldaccia,2,0
2021-05-05,Casteldaccia,0,0
2021-05-06,Casteldaccia,0,0
2021-05-07,Casteldaccia,0,1
2021-05-08,Casteldaccia,8,0
2021-05-09,Casteldaccia,0,1
2021-05-10,Casteldaccia,0,0
2021-05-11,Casteldaccia,3,1
2021-05-12,Casteldaccia,2,0
2021-05-13,Casteldaccia,1,0
2021-05-14,Casteldaccia,0,0
2021-05-15,Casteldaccia,0,0
2021-05-16,Casteldaccia,0,0
2021-05-17,Casteldaccia,0,0
2021-05-18,Casteldaccia,2,0
2021-05-19,Casteldaccia,5,0
2021-05-20,Casteldaccia,2,0
2021-05-21,Casteldaccia,14,0
2021-05-22,Casteldaccia,1,0
2021-05-23,Casteldaccia,0,0
2021-05-24,Casteldaccia,0,0
2021-05-25,Casteldaccia,0,0
2021-05-26,Casteldaccia,0,0
2021-05-27,Casteldaccia,0,0
2021-05-28,Casteldaccia,0,0
2021-05-29,Casteldaccia,0,0
2021-05-30,Casteldaccia,0,0
2021-05-31,Casteldaccia,0,0
2021-06-01,Casteldaccia,1,0
2021-06-02,Casteldaccia,8,0
2021-06-03,Casteldaccia,0,0
2021-06-04,Casteldaccia,1,0
2021-06-05,Casteldaccia,0,0
2021-06-06,Casteldaccia,2,1
2021-06-07,Casteldaccia,1,0
2021-06-08,Casteldaccia,3,0
2021-06-09,Casteldaccia,0,0
2021-06-10,Casteldaccia,4,0
2021-06-11,Casteldaccia,0,0
2021-06-12,Casteldaccia,4,0
2021-06-13,Casteldaccia,0,0
2021-06-14,Casteldaccia,0,0
2021-06-15,Casteldaccia,0,0
2021-06-16,Casteldaccia,0,0
2021-06-17,Casteldaccia,0,0
2021-06-18,Casteldaccia,0,0
2021-06-19,Casteldaccia,0,0
2021-06-20,Casteldaccia,0,0
2021-06-21,Casteldaccia,0,0
2021-06-22,Casteldaccia,5,0
2021-06-23,Casteldaccia,0,0
2021-06-24,Casteldaccia,0,0
2021-06-25,Casteldaccia,0,0
2021-06-26,Casteldaccia,0,0
2021-06-27,Casteldaccia,0,0
2021-06-28,Casteldaccia,0,0
2021-06-29,Casteldaccia,0,0
2021-06-30,Casteldaccia,0,0
2021-07-01,Casteldaccia,0,0
2021-07-02,Casteldaccia,1,0
2021-07-03,Casteldaccia,0,0
2021-07-04,Casteldaccia,0,0
2021-07-05,Casteldaccia,0,0
2021-07-06,Casteldaccia,0,0
2021-07-07,Casteldaccia,0,0
2021-07-08,Casteldaccia,0,0
2021-07-09,Casteldaccia,0,0
2021-07-10,Casteldaccia,1,0
2021-07-11,Casteldaccia,1,0
2021-07-12,Casteldaccia,0,0
2021-07-13,Casteldaccia,0,0
2021-07-14,Casteldaccia,2,0
2021-07-15,Casteldaccia,0,0
2021-07-16,Casteldaccia,1,0
2021-07-17,Casteldaccia,1,0
2021-07-18,Casteldaccia,0,0
2021-07-19,Casteldaccia,0,0
2021-07-20,Casteldaccia,0,0
2021-07-21,Casteldaccia,0,0
2021-07-22,Casteldaccia,0,0
2021-07-23,Casteldaccia,0,0
2021-07-24,Casteldaccia,0,0
2021-07-25,Casteldaccia,0,0
2021-07-26,Casteldaccia,1,0
2021-07-27,Casteldaccia,3,1
2021-07-28,Casteldaccia,0,0
2021-07-29,Casteldaccia,4,0
2021-07-30,Casteldaccia,5,0
2021-07-31,Casteldaccia,7,0
2021-08-01,Casteldaccia,2,0
2021-08-02,Casteldaccia,1,0
2021-08-03,Casteldaccia,1,0
2021-08-04,Casteldaccia,1,0
2021-08-05,Casteldaccia,2,0
2021-08-06,Casteldaccia,3,0
2021-08-07,Casteldaccia,0,0
2021-08-08,Casteldaccia,0,0
2021-08-09,Casteldaccia,0,0
2021-08-10,Casteldaccia,5,0
2021-08-11,Casteldaccia,6,0
2021-08-12,Casteldaccia,2,0
2021-08-13,Casteldaccia,3,0
2021-08-14,Casteldaccia,6,0
2021-08-15,Casteldaccia,3,0
2021-08-16,Casteldaccia,0,0
2021-08-17,Casteldaccia,1,0
2021-08-18,Casteldaccia,1,0
2021-08-19,Casteldaccia,13,0
2021-08-20,Casteldaccia,11,0
2021-08-21,Casteldaccia,1,0
2021-08-22,Casteldaccia,7,0
2021-08-23,Casteldaccia,0,0
2021-08-24,Casteldaccia,16,0
2021-08-25,Casteldaccia,2,0
2021-08-26,Casteldaccia,7,0
2021-08-27,Casteldaccia,0,0
2021-08-28,Casteldaccia,11,0
2021-08-29,Casteldaccia,0,0
2021-08-30,Casteldaccia,0,0
2021-08-31,Casteldaccia,7,0
2021-09-01,Casteldaccia,2,0
2021-09-02,Casteldaccia,10,0
2021-09-03,Casteldaccia,0,0
2021-09-04,Casteldaccia,3,0
2021-09-05,Casteldaccia,1,0
2021-09-06,Casteldaccia,0,0
2021-09-07,Casteldaccia,3,0
2021-09-08,Casteldaccia,0,0
2021-09-09,Casteldaccia,1,0
2021-09-10,Casteldaccia,1,0
2021-09-11,Casteldaccia,1,0
2021-09-12,Casteldaccia,0,0
2021-09-13,Casteldaccia,0,0
2021-09-14,Casteldaccia,0,0
2021-09-15,Casteldaccia,0,0
2021-09-16,Casteldaccia,0,0
2021-09-17,Casteldaccia,0,0
2021-09-18,Casteldaccia,0,0
2021-09-19,Casteldaccia,1,0
2021-09-20,Casteldaccia,0,0
2021-09-21,Casteldaccia,0,0
2021-09-22,Casteldaccia,0,0
2021-09-23,Casteldaccia,0,1
2021-09-24,Casteldaccia,0,0
2021-09-25,Casteldaccia,0,0
2021-09-26,Casteldaccia,0,0
2021-09-27,Casteldaccia,0,0
2021-09-28,Casteldaccia,0,0
2021-09-29,Casteldaccia,0,0
2021-09-30,Casteldaccia,0,0
2021-10-01,Casteldaccia,0,0
2021-10-02,Casteldaccia,0,0
2021-10-03,Casteldaccia,0,0
2021-10-04,Casteldaccia,14,0
2021-10-05,Casteldaccia,0,0
2021-10-06,Casteldaccia,0,0
2021-10-07,Casteldaccia,0,0
2021-10-08,Casteldaccia,0,0
2021-10-09,Casteldaccia,2,0
2021-10-10,Casteldaccia,0,0
2021-10-11,Casteldaccia,0,0
2021-10-12,Casteldaccia,0,0
2021-10-13,Casteldaccia,0,0
2021-10-14,Casteldaccia,0,0
2021-10-15,Casteldaccia,3,0
2021-10-16,Casteldaccia,0,0
2021-10-17,Casteldaccia,0,0
2021-10-18,Casteldaccia,0,0
2021-10-19,Casteldaccia,0,0
2021-10-20,Casteldaccia,1,0
2021-10-21,Casteldaccia,1,0
2021-10-22,Casteldaccia,1,0
2021-10-23,Casteldaccia,1,0
2021-10-24,Casteldaccia,0,0
2021-10-25,Casteldaccia,1,0
2021-10-26,Casteldaccia,0,0
2021-10-27,Casteldaccia,0,0
2021-10-28,Casteldaccia,0,0
2021-10-29,Casteldaccia,0,0
2021-10-30,Casteldaccia,0,0
2021-10-31,Casteldaccia,0,0
2021-11-01,Casteldaccia,0,0
2021-11-02,Casteldaccia,0,0
2021-11-03,Casteldaccia,2,0
2021-11-04,Casteldaccia,0,0
2021-11-05,Casteldaccia,0,0
2021-11-06,Casteldaccia,0,0
2021-11-07,Casteldaccia,6,0
2021-11-08,Casteldaccia,1,0
2021-11-09,Casteldaccia,0,0
2021-11-10,Casteldaccia,5,0
2021-11-11,Casteldaccia,0,0
2021-11-12,Casteldaccia,0,0
2021-11-13,Casteldaccia,1,0
2021-11-14,Casteldaccia,0,0
2021-11-15,Casteldaccia,2,0
2021-11-16,Casteldaccia,2,0
2021-11-17,Casteldaccia,4,0
2021-11-18,Casteldaccia,0,0
2021-11-19,Casteldaccia,0,0
2021-11-20,Casteldaccia,0,0
2021-11-21,Casteldaccia,0,0
2021-11-22,Casteldaccia,0,0
2021-11-23,Casteldaccia,1,0
2021-11-24,Casteldaccia,0,0
2021-11-25,Casteldaccia,9,0
2021-11-26,Casteldaccia,1,0
2021-11-27,Casteldaccia,1,0
2021-11-28,Casteldaccia,0,0
2021-11-29,Casteldaccia,0,0
2021-11-30,Casteldaccia,0,0
2021-12-01,Casteldaccia,0,0
2021-12-02,Casteldaccia,0,0
2021-12-03,Casteldaccia,0,0
2021-12-04,Casteldaccia,0,0
2021-12-05,Casteldaccia,0,0
2021-12-06,Casteldaccia,1,0
2021-12-07,Casteldaccia,2,0
