data,comune,nuovi_positivi,deceduti
2021-09-05,Santa Flavia,1,0
2021-09-06,Santa Flavia,0,0
2021-09-07,Santa Flavia,3,0
2021-09-08,Santa Flavia,0,0
2021-09-09,Santa Flavia,4,0
2021-09-10,Santa Flavia,1,0
2021-09-11,Santa Flavia,1,0
2021-09-12,Santa Flavia,1,0
2021-09-13,Santa Flavia,1,1
2021-09-14,Santa Flavia,7,0
2021-09-15,Santa Flavia,4,0
2021-09-16,Santa Flavia,3,0
2021-09-17,Santa Flavia,0,0
2021-09-18,Santa Flavia,0,0
2021-09-19,Santa Flavia,0,0
2021-09-20,Santa Flavia,0,0
2021-09-21,Santa Flavia,0,0
2021-09-22,Santa Flavia,0,0
2021-09-23,Santa Flavia,0,0
2021-09-24,Santa Flavia,1,0
2021-09-25,Santa Flavia,0,0
2021-09-26,Santa Flavia,0,0
2021-09-27,Santa Flavia,0,0
2021-09-28,Santa Flavia,0,1
2021-09-29,Santa Flavia,0,0
2021-09-30,Santa Flavia,0,0
2021-10-01,Santa Flavia,0,0
2021-10-02,Santa Flavia,0,0
2021-10-03,Santa Flavia,0,0
2021-10-04,Santa Flavia,0,0
2021-10-05,Santa Flavia,0,0
2021-10-06,Santa Flavia,0,0
2021-10-07,Santa Flavia,0,0
2021-10-08,Santa Flavia,0,0
2021-10-09,Santa Flavia,0,0
2021-10-10,Santa Flavia,0,0
2021-10-11,Santa Flavia,0,0
2021-10-12,Santa Flavia,0,0
2021-10-13,Santa Flavia,0,0
2021-10-14,Santa Flavia,0,0
2021-10-15,Santa Flavia,0,0
2021-10-16,Santa Flavia,0,0
2021-10-17,Santa Flavia,0,0
2021-10-18,Santa Flavia,0,0
2021-10-19,Santa Flavia,0,0
2021-10-20,Santa Flavia,0,0
2021-10-21,Santa Flavia,0,0
2021-10-22,Santa Flavia,0,0
2021-10-23,Santa Flavia,0,0
2021-10-24,Santa Flavia,0,0
2021-10-25,Santa Flavia,0,0
2021-10-26,Santa Flavia,1,0
2021-10-27,Santa Flavia,0,0
2021-10-28,Santa Flavia,0,0
2021-10-29,Santa Flavia,1,0
2021-10-30,Santa Flavia,0,0
2021-10-31,Santa Flavia,0,0
2021-11-01,Santa Flavia,0,0
2021-11-02,Santa Flavia,0,0
