"time","value"
"2020-10-05",3
"2020-10-12",11
"2020-10-19",24
"2020-10-26",81
"2020-11-02",67
"2020-11-09",166
"2020-11-16",123
"2020-11-23",113
"2020-11-30",84
"2020-12-07",59
"2020-12-14",83
"2020-12-21",89
"2020-12-28",131
"2021-01-04",131
"2021-01-11",121
"2021-01-18",136
"2021-01-25",106
"2021-02-01",84
"2021-02-08",43
"2021-02-15",25
"2021-02-22",11
"2021-03-01",24
"2021-03-08",56
"2021-03-15",56
"2021-03-22",34
