data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-06-21,39,82006,Bagheria,38.078918,13.512365,,,4,28,32,-3,1,2873,116,3021,6527,3021,,,,
2021-06-21,39,82067,Santa Flavia,38.08246,13.52758,,,2,8,10,0,0,728,19,757,1703,757,,,,
2021-06-21,39,82035,Ficarazzi,38.089272,13.46891,,,0,0,0,0,0,739,10,749,1670,749,,,,
2021-06-21,39,82023,Casteldaccia,38.05373,13.52967,,,0,17,17,-4,0,546,24,587,1310,587,,,,
2021-06-21,39,82004,Altavilla Milicia,38.0421,13.54901,,,0,4,4,0,0,443,13,460,1018,460,,,,
