data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-06-09,39,82006,Bagheria,38.078918,13.512365,,,4,40,44,-3,2,2840,115,2999,6457,2999,,,,
2021-06-09,39,82067,Santa Flavia,38.08246,13.52758,,,3,9,12,-1,0,723,19,754,1696,754,,,,
2021-06-09,39,82035,Ficarazzi,38.089272,13.46891,,,5,9,14,-2,0,726,9,749,1663,749,,,,
2021-06-09,39,82023,Casteldaccia,38.05373,13.52967,,,4,38,42,1,3,514,22,578,1265,578,,,,
2021-06-09,39,82004,Altavilla Milicia,38.0421,13.54901,,,1,8,9,0,0,436,13,458,1009,458,,,,
