data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-06-17,39,82006,Bagheria,38.078918,13.512365,,,6,33,39,1,6,2866,115,3020,6513,3020,,,,
2021-06-17,39,82067,Santa Flavia,38.08246,13.52758,,,2,10,12,1,2,726,19,757,1701,757,,,,
2021-06-17,39,82035,Ficarazzi,38.089272,13.46891,,,0,0,0,-3,0,739,10,749,1670,749,,,,
2021-06-17,39,82023,Casteldaccia,38.05373,13.52967,,,0,23,23,-1,0,540,24,587,1296,587,,,,
2021-06-17,39,82004,Altavilla Milicia,38.0421,13.54901,,,0,5,5,0,0,442,13,460,1016,460,,,,
