data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-07-11,39,82006,Bagheria,38.078918,13.512365,,,0,14,14,0,0,2905,117,3036,6595,3036,,,,
2021-07-11,39,82067,Santa Flavia,38.08246,13.52758,,,0,1,1,1,1,737,20,758,1713,758,,,,
2021-07-11,39,82035,Ficarazzi,38.089272,13.46891,,,0,0,0,0,0,739,10,749,1670,749,,,,
2021-07-11,39,82023,Casteldaccia,38.05373,13.52967,,,0,7,7,0,0,562,24,593,1340,593,,,,
2021-07-11,39,82004,Altavilla Milicia,38.0421,13.54901,,,0,0,0,0,0,447,13,460,1021,460,,,,
