data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-05-27,39,82006,Bagheria,38.078918,13.512365,,,1,85,86,-2,9,2773,113,2972,6324,2972,,,,
2021-05-27,39,82067,Santa Flavia,38.08246,13.52758,,,3,13,16,-5,0,717,18,751,1687,751,,,,
2021-05-27,39,82035,Ficarazzi,38.089272,13.46891,,,5,11,16,0,0,718,9,743,1648,743,,,,
2021-05-27,39,82023,Casteldaccia,38.05373,13.52967,,,4,46,50,-6,0,490,21,561,1222,561,,,,
2021-05-27,39,82004,Altavilla Milicia,38.0421,13.54901,,,1,8,9,-8,0,433,13,455,997,455,,,,
