data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-09-18,39,82006,Bagheria,38.078918,13.512365,,,8,171,179,1,6,3301,118,3598,7894,3598,,,,
2021-09-18,39,82067,Santa Flavia,38.08246,13.52758,,,0,42,42,0,0,819,22,883,1985,883,,,,
2021-09-18,39,82035,Ficarazzi,38.089272,13.46891,,,1,44,45,0,1,827,10,882,1956,882,,,,
2021-09-18,39,82023,Casteldaccia,38.05373,13.52967,,,0,39,39,0,0,691,25,755,1743,755,,,,
2021-09-18,39,82004,Altavilla Milicia,38.0421,13.54901,,,0,13,13,0,0,484,13,510,1151,510,,,,
