data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-05-24,39,82006,Bagheria,38.078918,13.512365,,,5,141,146,-43,4,2698,108,2952,6261,2952,,,,
2021-05-24,39,82067,Santa Flavia,38.08246,13.52758,,,3,32,35,-5,0,699,17,751,1673,751,,,,
2021-05-24,39,82035,Ficarazzi,38.089272,13.46891,,,6,21,27,-6,0,710,9,746,1650,746,,,,
2021-05-24,39,82023,Casteldaccia,38.05373,13.52967,,,4,79,83,-1,0,457,21,561,1196,561,,,,
2021-05-24,39,82004,Altavilla Milicia,38.0421,13.54901,,,2,37,39,-2,1,401,12,452,982,452,,,,
