data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-07-28,39,82006,Bagheria,38.078918,13.512365,,,0,47,47,-1,1,2918,117,3082,6676,3082,,,,
2021-07-28,39,82067,Santa Flavia,38.08246,13.52758,,,0,4,4,0,0,738,20,762,1721,762,,,,
2021-07-28,39,82035,Ficarazzi,38.089272,13.46891,,,0,6,6,0,0,739,10,755,1678,755,,,,
2021-07-28,39,82023,Casteldaccia,38.05373,13.52967,,,0,4,4,-2,0,571,25,600,1360,600,,,,
2021-07-28,39,82004,Altavilla Milicia,38.0421,13.54901,,,0,8,8,0,0,450,13,471,1040,471,,,,
