data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-06-04,39,82006,Bagheria,38.078918,13.512365,,,0,74,74,-7,0,2802,115,2991,6408,2991,,,,
2021-06-04,39,82067,Santa Flavia,38.08246,13.52758,,,2,12,14,-1,0,719,19,752,1691,752,,,,
2021-06-04,39,82035,Ficarazzi,38.089272,13.46891,,,5,13,18,-4,0,722,9,749,1657,749,,,,
2021-06-04,39,82023,Casteldaccia,38.05373,13.52967,,,4,44,48,-8,0,502,21,571,1252,571,,,,
2021-06-04,39,82004,Altavilla Milicia,38.0421,13.54901,,,1,10,11,0,0,434,13,458,1005,458,,,,
