data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-06-01,39,82006,Bagheria,38.078918,13.512365,,,0,83,83,-2,0,2791,115,2989,6378,2989,,,,
2021-06-01,39,82067,Santa Flavia,38.08246,13.52758,,,3,13,16,0,0,718,18,752,1689,752,,,,
2021-06-01,39,82035,Ficarazzi,38.089272,13.46891,,,5,17,22,0,0,718,9,749,1657,749,,,,
2021-06-01,39,82023,Casteldaccia,38.05373,13.52967,,,4,43,47,0,0,494,21,562,1232,562,,,,
2021-06-01,39,82004,Altavilla Milicia,38.0421,13.54901,,,1,11,12,0,0,433,13,458,1003,458,,,,
