data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-09-16,39,82006,Bagheria,38.078918,13.512365,,,8,190,198,-7,4,3270,118,3586,7857,3586,,,,
2021-09-16,39,82067,Santa Flavia,38.08246,13.52758,,,0,40,40,0,7,816,22,878,1971,878,,,,
2021-09-16,39,82035,Ficarazzi,38.089272,13.46891,,,1,63,64,-10,1,805,10,879,1941,879,,,,
2021-09-16,39,82023,Casteldaccia,38.05373,13.52967,,,0,41,41,-4,0,689,25,755,1736,755,,,,
2021-09-16,39,82004,Altavilla Milicia,38.0421,13.54901,,,0,13,13,-1,0,484,13,510,1148,510,,,,
