data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-09-06,39,82006,Bagheria,38.078918,13.512365,,,4,288,292,38,44,3101,118,3511,7517,3511,,,,
2021-09-06,39,82067,Santa Flavia,38.08246,13.52758,,,0,42,42,1,2,787,21,850,1894,850,,,,
2021-09-06,39,82035,Ficarazzi,38.089272,13.46891,,,1,64,65,7,9,777,10,852,1852,852,,,,
2021-09-06,39,82023,Casteldaccia,38.05373,13.52967,,,1,89,90,8,11,630,25,745,1643,745,,,,
2021-09-06,39,82004,Altavilla Milicia,38.0421,13.54901,,,0,26,26,3,3,470,13,509,1130,509,,,,
