data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-09-24,39,82006,Bagheria,38.078918,13.512365,,,8,115,123,-2,2,3379,119,3621,8016,3621,,,,
2021-09-24,39,82067,Santa Flavia,38.08246,13.52758,,,0,30,30,0,0,834,22,886,2010,886,,,,
2021-09-24,39,82035,Ficarazzi,38.089272,13.46891,,,0,30,30,-7,0,852,10,892,1999,892,,,,
2021-09-24,39,82023,Casteldaccia,38.05373,13.52967,,,0,17,17,-3,0,712,26,755,1760,755,,,,
2021-09-24,39,82004,Altavilla Milicia,38.0421,13.54901,,,0,14,14,-1,0,485,13,512,1156,512,,,,
