data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-07-19,39,82006,Bagheria,38.078918,13.512365,,,0,30,30,5,5,2909,117,3056,6626,3056,,,,
2021-07-19,39,82067,Santa Flavia,38.08246,13.52758,,,0,1,1,0,0,737,20,758,1714,758,,,,
2021-07-19,39,82035,Ficarazzi,38.089272,13.46891,,,0,1,1,0,0,739,10,750,1671,750,,,,
2021-07-19,39,82023,Casteldaccia,38.05373,13.52967,,,1,6,7,2,2,568,24,599,1351,599,,,,
2021-07-19,39,82004,Altavilla Milicia,38.0421,13.54901,,,0,7,7,0,0,447,13,467,1029,467,,,,
