data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-06-11,39,82006,Bagheria,38.078918,13.512365,,,4,33,37,-2,0,2846,115,2998,6463,2998,,,,
2021-06-11,39,82067,Santa Flavia,38.08246,13.52758,,,3,8,11,1,1,725,19,755,1698,755,,,,
2021-06-11,39,82035,Ficarazzi,38.089272,13.46891,,,3,0,3,-1,0,736,10,749,1667,749,,,,
2021-06-11,39,82023,Casteldaccia,38.05373,13.52967,,,3,30,33,-6,1,523,23,579,1278,579,,,,
2021-06-11,39,82004,Altavilla Milicia,38.0421,13.54901,,,0,5,5,0,0,440,13,458,1011,458,,,,
